Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
PU-CMP-1017,Influencer,Premium Shoppers,29,Email,13272,542,232,154,117810,1790.01,-0.57,English,6.99,Tier 2 City Customers,10-04-2025
PU-CMP-1018,Email,Youth,26,"YouTube, Email, Instagram",21145,2631,1453,465,109275,510.19,-0.54,English,21.51,College Students,20-05-2025
PU-CMP-1019,Email,Youth,5,Google,89774,4850,2293,1255,874735,126.4,4.51,English,9.35,Premium Shoppers,08-11-2024
PU-CMP-1020,Social Media,Premium Shoppers,19,"WhatsApp, Instagram, Facebook",91265,6108,3239,2562,855708,21.3,14.68,Bengali,13.05,Working Women,06-02-2025
PU-CMP-1021,Influencer,Premium Shoppers,23,YouTube,31251,1493,411,211,78281,425.77,-0.13,English,6.77,Tier 2 City Customers,11-09-2024
PU-CMP-1022,Paid Ads,Working Women,19,"WhatsApp, Instagram",12321,275,120,39,12831,1741.9,-0.81,Bengali,3.52,Working Women,14-03-2025
PU-CMP-1023,Influencer,Working Women,24,Facebook,81785,4486,2181,1199,501182,219.29,0.91,Hindi,9.62,Youth,22-07-2024
PU-CMP-1024,Paid Ads,Working Women,25,"YouTube, WhatsApp, Instagram",53825,2341,629,453,226047,246.34,1.03,Tamil,6.36,Youth,12-01-2025
PU-CMP-1025,Paid Ads,Youth,16,"Google, WhatsApp",70528,7924,3502,1886,1020326,120.87,3.48,Bengali,18.87,College Students,18-11-2024
PU-CMP-1026,Social Media,Working Women,28,"Google, Instagram",93694,3566,1062,549,111996,376.37,-0.46,Bengali,5.53,Tier 2 City Customers,09-02-2025
PU-CMP-1027,Paid Ads,Youth,23,"Google, WhatsApp, Instagram",42745,3122,995,684,487008,313.83,1.27,Bengali,11.23,College Students,12-04-2025
PU-CMP-1028,Paid Ads,Premium Shoppers,8,WhatsApp,86483,8763,4092,2357,1369417,64.88,7.95,Hindi,17.59,Youth,16-04-2025
PU-CMP-1029,Social Media,Working Women,25,"YouTube, Facebook, WhatsApp",92767,12211,2983,1997,1198200,130.19,3.61,Tamil,18.53,Premium Shoppers,12-07-2024
PU-CMP-1030,Email,Youth,13,Facebook,17372,1861,975,376,124832,776.52,-0.57,Hindi,18.49,Working Women,01-01-2025
PU-CMP-1031,Social Media,Working Women,8,YouTube,72759,9731,3275,1579,699497,139.27,2.18,Tamil,20.05,Premium Shoppers,11-09-2024
PU-CMP-1032,Influencer,Working Women,25,"WhatsApp, Instagram, Google",21392,2508,875,419,289948,565.74,0.22,Tamil,17.77,Premium Shoppers,06-03-2025
PU-CMP-1033,Social Media,College Students,20,"Google, WhatsApp, Email",91199,11459,4334,1929,781245,64.27,5.3,Hindi,19.43,Premium Shoppers,25-02-2025
PU-CMP-1034,Paid Ads,Youth,21,Google,64792,6275,3145,1291,290475,110.04,1.04,Bengali,16.53,Working Women,05-06-2025
PU-CMP-1035,Social Media,Working Women,10,"YouTube, WhatsApp",68413,1605,454,197,80770,498.22,-0.18,Hindi,3.3,Tier 2 City Customers,21-01-2025
PU-CMP-1036,Paid Ads,Youth,17,"Instagram, Google, WhatsApp",85935,4869,2271,1675,576200,59.98,4.74,Bengali,10.26,Tier 2 City Customers,14-03-2025
PU-CMP-1037,Influencer,Tier 2 City Customers,11,YouTube,32147,2331,1084,707,197960,419.48,-0.33,English,12.82,Premium Shoppers,08-01-2025
PU-CMP-1038,Email,College Students,7,"YouTube, Email",87850,8924,4518,3039,1157859,41.98,8.07,Hindi,18.76,Tier 2 City Customers,24-10-2024
PU-CMP-1039,Email,Youth,21,"WhatsApp, Email, YouTube",39169,4796,1239,937,345753,102.89,2.59,English,17.8,Working Women,18-02-2025
PU-CMP-1040,Paid Ads,Tier 2 City Customers,6,Email,97355,8604,4706,1828,1349064,80.28,8.19,English,15.55,Tier 2 City Customers,02-01-2025
PU-CMP-1041,Social Media,Premium Shoppers,21,Instagram,61112,1439,776,253,198352,1011.6,-0.22,Bengali,4.04,Youth,17-12-2024
PU-CMP-1042,Influencer,Working Women,18,"YouTube, Instagram, WhatsApp",44298,2931,1584,795,425325,154.43,2.46,Bengali,11.99,Youth,14-04-2025
PU-CMP-1043,Paid Ads,Premium Shoppers,27,"WhatsApp, Instagram",72161,5248,1200,561,150348,150.7,0.78,Bengali,9.71,Working Women,01-10-2024
PU-CMP-1044,Influencer,Youth,28,Email,83463,8430,4026,2268,1086372,86.21,4.56,Hindi,17.64,Tier 2 City Customers,09-12-2024
PU-CMP-1045,Social Media,Youth,15,"WhatsApp, Instagram, Google",34994,1718,433,186,71982,1131.5,-0.66,Bengali,6.68,Working Women,25-03-2025
PU-CMP-1046,Paid Ads,Premium Shoppers,12,"WhatsApp, Instagram, Email",25648,1132,665,258,125646,805.74,-0.4,Bengali,8.01,College Students,07-07-2024
PU-CMP-1047,Email,Working Women,29,Instagram,74907,8306,1960,1449,1012851,129.15,4.41,English,15.64,Premium Shoppers,25-11-2024
PU-CMP-1048,Social Media,Youth,10,Google,51926,7722,3636,2858,908844,32.31,8.84,Hindi,27.38,Premium Shoppers,01-10-2024
PU-CMP-1049,Influencer,Youth,19,Email,87914,4740,1456,491,288217,143.56,3.09,Tamil,7.61,Tier 2 City Customers,19-03-2025
PU-CMP-1050,Paid Ads,Premium Shoppers,23,"Facebook, YouTube, WhatsApp",16115,2081,633,370,145410,557.43,-0.29,Hindi,19.14,Youth,17-01-2025
PU-CMP-1051,Paid Ads,Premium Shoppers,17,Instagram,35013,2589,1332,821,288992,232.68,0.51,Hindi,13.54,Tier 2 City Customers,23-10-2024
PU-CMP-1052,Email,Tier 2 City Customers,8,"YouTube, Email",35756,923,428,129,78303,1202.12,-0.5,Tamil,4.14,College Students,21-04-2025
PU-CMP-1053,Social Media,College Students,26,Email,56658,4696,1323,1038,630066,288.61,1.1,English,12.46,Tier 2 City Customers,12-12-2024
PU-CMP-1054,Influencer,Tier 2 City Customers,14,YouTube,98558,9074,4934,3548,709600,66.49,2.01,Tamil,17.81,Working Women,01-02-2025
PU-CMP-1055,SEO,Premium Shoppers,11,Email,57695,7562,4353,2705,1723085,66.81,8.53,Hindi,25.34,Youth,31-03-2025
PU-CMP-1056,Paid Ads,Working Women,12,"WhatsApp, Email",98618,3516,974,426,100536,186.27,0.27,Tamil,4.98,College Students,09-02-2025
PU-CMP-1057,Paid Ads,Working Women,20,Google,81752,11413,5759,3157,647185,51.6,2.97,Bengali,24.87,Working Women,29-01-2025
PU-CMP-1058,Paid Ads,College Students,23,Email,89833,7986,3719,2557,1173663,40.52,10.33,Tamil,15.88,College Students,31-10-2024
PU-CMP-1059,Influencer,College Students,13,Google,95090,14025,7816,3563,1026144,35.69,7.07,Hindi,26.72,Premium Shoppers,18-05-2025
PU-CMP-1060,Influencer,Working Women,25,"Facebook, Email, Instagram",14318,876,475,284,162732,583.02,-0.02,English,11.42,Working Women,06-12-2024
PU-CMP-1061,Email,Premium Shoppers,6,Facebook,13361,1489,773,400,231200,295.7,0.95,English,19.92,College Students,04-02-2025
PU-CMP-1062,Paid Ads,Working Women,9,"Email, WhatsApp, Facebook",92762,12450,2537,1044,510516,87.26,4.6,English,17.28,Working Women,18-04-2025
PU-CMP-1063,SEO,Tier 2 City Customers,30,Facebook,90435,8729,2193,1482,823992,62.24,7.93,Tamil,13.72,Premium Shoppers,09-12-2024
PU-CMP-1064,Influencer,Working Women,28,Email,74666,2791,1227,512,215552,307.4,0.37,Bengali,6.07,Working Women,15-09-2024
PU-CMP-1065,Influencer,Tier 2 City Customers,6,"Email, Instagram, Facebook",25497,3380,1911,863,592018,131.34,4.22,Tamil,24.14,Working Women,31-08-2024
PU-CMP-1066,Influencer,College Students,25,"Facebook, WhatsApp",86467,9219,3842,1503,967932,165.9,2.88,Bengali,16.84,Youth,16-05-2025
PU-CMP-1067,Email,Premium Shoppers,16,Google,73621,8931,4111,1581,1226856,41.77,17.58,Tamil,19.86,College Students,26-03-2025
PU-CMP-1068,Influencer,College Students,29,YouTube,89585,10875,4965,2890,1208020,33.98,11.3,English,20.91,Working Women,23-05-2025
PU-CMP-1069,Social Media,College Students,16,"Google, Facebook",92176,10893,2521,1503,1152801,83.15,8.22,Bengali,16.18,Tier 2 City Customers,03-04-2025
PU-CMP-1070,Social Media,Tier 2 City Customers,24,"Facebook, Google, Instagram",31413,1517,603,481,191919,224.09,0.78,Hindi,8.28,Premium Shoppers,25-05-2025
PU-CMP-1071,Social Media,College Students,5,"Facebook, Email, Instagram",88529,11797,6031,3719,1056196,75.14,2.78,Tamil,24.34,Working Women,20-05-2025
PU-CMP-1072,Influencer,College Students,7,"Facebook, Instagram, WhatsApp",15961,1472,548,295,151630,874.31,-0.41,Hindi,14.5,Working Women,16-01-2025
PU-CMP-1073,Influencer,Working Women,19,"Email, WhatsApp, YouTube",14490,1816,679,424,278992,258.45,1.55,English,20.14,Youth,02-03-2025
PU-CMP-1074,Email,Working Women,9,Instagram,35504,5311,2069,987,549759,160.87,2.46,Hindi,23.57,Working Women,17-11-2024
PU-CMP-1075,Influencer,College Students,8,"Email, Instagram",18176,1078,446,198,101574,1463.11,-0.65,Tamil,9.47,Premium Shoppers,10-08-2024
PU-CMP-1076,Influencer,Premium Shoppers,28,Email,64849,3707,1409,965,501800,114.46,3.54,Bengali,9.38,Tier 2 City Customers,19-03-2025
PU-CMP-1077,Email,Working Women,29,Instagram,57933,7825,2140,1517,763051,130.1,2.87,Bengali,19.82,Youth,23-12-2024
PU-CMP-1078,Influencer,Tier 2 City Customers,28,"Google, YouTube",11117,409,192,75,15375,3256.87,-0.94,English,6.08,College Students,01-12-2024
PU-CMP-1079,SEO,College Students,30,"Facebook, YouTube",56612,5099,2739,1933,1155934,54.03,10.07,Bengali,17.26,Youth,08-03-2025
PU-CMP-1080,Email,Tier 2 City Customers,16,Facebook,66235,7769,1638,1143,456057,128.37,2.11,Hindi,15.93,Premium Shoppers,24-07-2024
PU-CMP-1081,Email,Working Women,29,Instagram,19603,1001,437,308,237776,370.69,1.08,English,8.91,College Students,28-11-2024
PU-CMP-1082,Paid Ads,Premium Shoppers,5,YouTube,47865,6222,2568,1875,1455000,53.3,13.56,Tamil,22.28,Working Women,04-12-2024
PU-CMP-1083,SEO,Working Women,22,"YouTube, Email, Instagram",10711,275,143,71,55238,1228.77,-0.37,Hindi,4.57,Working Women,01-08-2024
PU-CMP-1084,Social Media,College Students,13,"Google, WhatsApp",60799,8236,4069,2177,1600095,42.1,16.46,Tamil,23.82,Working Women,08-02-2025
PU-CMP-1085,Social Media,College Students,27,Instagram,46361,6128,1534,1213,485200,124.02,2.23,Hindi,19.14,College Students,28-07-2024
PU-CMP-1086,Social Media,Youth,6,"Instagram, WhatsApp",77352,7536,3938,2456,1856736,91.82,7.23,English,18.01,Premium Shoppers,14-08-2024
PU-CMP-1087,Social Media,Working Women,9,"Facebook, YouTube, Instagram",76300,5125,2635,2050,1309950,57.74,10.07,Hindi,12.86,College Students,01-08-2024
PU-CMP-1088,Social Media,Youth,30,Facebook,49810,3141,1793,1063,413507,171.61,1.27,Bengali,12.04,Tier 2 City Customers,04-12-2024
PU-CMP-1089,Social Media,Working Women,16,"YouTube, Email, Facebook",41428,6180,3302,1710,778050,83.93,4.42,Bengali,27.02,Premium Shoppers,13-05-2025
PU-CMP-1090,Email,Youth,17,"Email, Instagram",58104,5568,2002,891,634392,199.54,2.57,Tamil,14.56,Youth,28-04-2025
PU-CMP-1091,Paid Ads,Working Women,18,"Google, WhatsApp",65197,4313,2282,1308,987540,205.66,2.67,Hindi,12.12,Working Women,29-01-2025
PU-CMP-1092,Paid Ads,Tier 2 City Customers,27,"Instagram, YouTube",77879,11026,5914,4544,1867584,17.46,22.53,Hindi,27.59,Premium Shoppers,17-08-2024
PU-CMP-1093,SEO,Working Women,19,"Facebook, Google, Instagram",91357,4662,2240,937,707435,124.8,5.05,Bengali,8.58,Working Women,08-07-2024
PU-CMP-1094,Social Media,Youth,26,YouTube,14819,2079,981,551,303601,413.16,0.33,Hindi,24.37,Tier 2 City Customers,19-03-2025
PU-CMP-1095,Paid Ads,Premium Shoppers,18,Instagram,62011,2291,1207,452,234588,229.67,1.26,Tamil,6.37,Working Women,03-10-2024
PU-CMP-1096,Paid Ads,Working Women,30,"Email, YouTube, Google",23188,1029,223,177,115050,755.61,-0.14,Bengali,6.16,Premium Shoppers,07-03-2025
PU-CMP-1097,Email,Tier 2 City Customers,8,"Email, WhatsApp, Instagram",49700,6869,3985,2952,1676736,43.75,11.98,Bengali,27.78,Premium Shoppers,12-05-2025
PU-CMP-1098,Social Media,Premium Shoppers,15,"Google, Email",83421,11556,6733,4163,1019935,68.6,2.57,Tamil,26.91,Working Women,07-08-2024
PU-CMP-1099,Influencer,Tier 2 City Customers,21,Google,82643,3455,1444,1069,363460,202.58,0.68,English,7.22,Working Women,16-03-2025
PU-CMP-1100,Social Media,College Students,28,Facebook,61720,2805,821,540,130140,467.9,-0.48,English,6.75,Premium Shoppers,07-07-2024
PU-CMP-1101,Paid Ads,College Students,23,Email,19804,671,156,98,51842,2685.82,-0.8,Bengali,4.67,Youth,25-12-2024
PU-CMP-1102,Paid Ads,Premium Shoppers,9,"WhatsApp, Facebook",94521,13670,3677,2498,1016686,94.97,3.29,Tamil,21,College Students,22-07-2024
PU-CMP-1103,SEO,Tier 2 City Customers,8,"Facebook, WhatsApp",90003,3424,1141,849,396483,96.99,3.81,Bengali,6.02,Premium Shoppers,02-11-2024
PU-CMP-1104,SEO,College Students,12,Facebook,95244,3271,1159,498,279378,468.28,0.2,English,5.17,Youth,07-09-2024
PU-CMP-1105,Social Media,Youth,15,WhatsApp,89442,4305,2386,1402,992616,153.23,3.62,Bengali,9.05,Tier 2 City Customers,04-06-2025
PU-CMP-1106,Paid Ads,Tier 2 City Customers,12,"WhatsApp, Email",53453,5750,3079,1474,1090760,164.82,3.49,English,19.27,Premium Shoppers,12-08-2024
PU-CMP-1107,Email,Tier 2 City Customers,28,Email,48815,2226,666,294,177870,486.78,0.24,Bengali,6.53,Premium Shoppers,11-04-2025
PU-CMP-1108,Social Media,Tier 2 City Customers,24,Google,57680,5108,1630,1073,402375,169.28,1.22,Bengali,13.54,Youth,14-12-2024
PU-CMP-1109,SEO,Tier 2 City Customers,6,"WhatsApp, Facebook",17550,2125,699,413,114401,526.05,-0.47,Tamil,18.44,College Students,26-01-2025
PU-CMP-1110,Email,Tier 2 City Customers,21,YouTube,60997,1816,553,442,182104,392.55,0.05,Bengali,4.61,Youth,06-07-2024
PU-CMP-1111,Influencer,Tier 2 City Customers,6,"WhatsApp, YouTube",12771,1127,659,358,236280,335.82,0.97,Bengali,16.79,Premium Shoppers,09-02-2025
PU-CMP-1112,Paid Ads,Tier 2 City Customers,10,"Google, Facebook",68200,8185,4257,2689,1831209,108.65,5.27,English,22.19,Working Women,25-10-2024
PU-CMP-1113,SEO,Youth,20,"Google, Facebook, Email",39471,1196,359,148,112036,1710.45,-0.56,English,4.31,Premium Shoppers,05-10-2024
PU-CMP-1114,Email,Tier 2 City Customers,19,Google,54201,6571,2995,1357,883407,85.43,6.62,Hindi,20.15,Working Women,24-04-2025
PU-CMP-1115,Paid Ads,Tier 2 City Customers,16,Google,66821,7574,4016,2477,943737,75.03,4.08,English,21.05,Tier 2 City Customers,08-09-2024
PU-CMP-1116,Social Media,Premium Shoppers,15,Instagram,36361,2030,866,421,151139,210.43,0.71,Hindi,9.12,Youth,05-09-2024
PU-CMP-1117,SEO,Youth,26,"Email, Facebook",93173,4699,1175,424,172144,520.4,-0.22,Hindi,6.76,Tier 2 City Customers,22-11-2024
PU-CMP-1118,Email,College Students,10,"Google, Facebook",97068,5267,1654,628,198448,448.63,-0.3,English,7.78,Tier 2 City Customers,17-11-2024
PU-CMP-1119,SEO,Youth,24,YouTube,41630,2085,1162,920,636640,132.3,4.23,English,10.01,College Students,12-07-2024
PU-CMP-1120,SEO,College Students,6,"YouTube, Facebook",40583,4691,1066,668,412824,199.48,2.1,English,15.83,College Students,13-03-2025
PU-CMP-1121,Paid Ads,Working Women,24,"Facebook, Google, Email",90634,12637,5829,1949,454117,79.17,1.94,Tamil,22.52,Working Women,07-09-2024
PU-CMP-1122,Email,Tier 2 City Customers,8,"Google, Facebook",90011,2739,915,343,150920,804.21,-0.45,Bengali,4.44,Youth,12-02-2025
PU-CMP-1123,Email,Working Women,30,YouTube,67983,4021,1482,734,406636,186.65,1.97,English,9.17,Working Women,23-10-2024
PU-CMP-1124,SEO,Working Women,13,"YouTube, Google",36253,1611,635,247,68913,512.45,-0.46,Bengali,6.88,College Students,02-12-2024
PU-CMP-1125,Email,Tier 2 City Customers,5,"WhatsApp, Facebook, Google",95569,4122,1415,975,530400,228.4,1.38,Tamil,6.81,Premium Shoppers,19-07-2024
PU-CMP-1126,Influencer,College Students,17,"WhatsApp, Instagram, YouTube",90305,11154,6212,3666,1319760,27.04,12.31,Bengali,23.29,Tier 2 City Customers,15-11-2024
PU-CMP-1127,Social Media,Working Women,23,"YouTube, Instagram",18333,2164,1144,801,321201,165.28,1.43,Tamil,22.41,Premium Shoppers,23-08-2024
PU-CMP-1128,Paid Ads,Working Women,16,Email,22920,3079,1186,928,415744,85.18,4.26,English,22.66,Tier 2 City Customers,31-03-2025
PU-CMP-1129,Influencer,Youth,7,"Instagram, YouTube, Google",11340,732,400,172,130204,665.98,0.14,Bengali,11.5,Youth,10-08-2024
PU-CMP-1130,Paid Ads,Working Women,18,Facebook,46975,4349,2138,1007,571976,81.7,5.95,Tamil,15.95,Working Women,08-10-2024
PU-CMP-1131,Influencer,Premium Shoppers,23,"Email, YouTube",72181,2399,484,312,213720,548.83,0.25,Hindi,4.43,Youth,29-12-2024
PU-CMP-1132,Email,Youth,6,WhatsApp,34197,1727,619,453,250509,246.45,1.24,English,8.18,Premium Shoppers,29-08-2024
PU-CMP-1133,Email,Working Women,20,"Email, Facebook, Google",40635,4891,1194,523,110353,493.76,-0.57,Bengali,16.26,Premium Shoppers,09-11-2024
PU-CMP-1134,Influencer,Tier 2 City Customers,9,Facebook,60974,3205,851,259,133385,903.54,-0.43,English,7.08,Working Women,22-11-2024
PU-CMP-1135,Influencer,College Students,13,"Facebook, WhatsApp",95585,3452,1173,637,170716,452.33,-0.41,Bengali,5.51,Working Women,13-09-2024
PU-CMP-1136,Paid Ads,College Students,7,"Instagram, Google, YouTube",18528,492,274,167,118236,935.44,-0.24,English,5.04,College Students,24-11-2024
PU-CMP-1137,Paid Ads,Working Women,29,WhatsApp,45383,2798,1643,1195,748070,224.7,1.79,Bengali,12.42,Working Women,20-12-2024
PU-CMP-1138,Paid Ads,Youth,24,WhatsApp,69701,9212,5089,2964,868452,93.46,2.13,Hindi,24.77,Youth,26-11-2024
PU-CMP-1139,Paid Ads,Premium Shoppers,9,"Instagram, YouTube, Email",46448,5601,3167,1418,1114548,154.5,4.09,Tamil,21.93,College Students,03-05-2025
PU-CMP-1140,Email,Youth,18,"Email, WhatsApp, Google",39397,3797,907,465,212040,321.31,0.42,Tamil,13.12,College Students,11-06-2025
PU-CMP-1141,Influencer,Youth,6,"YouTube, Instagram, Google",53336,7337,3910,2915,2227060,31.6,23.18,Bengali,26.55,Working Women,20-12-2024
PU-CMP-1142,Paid Ads,Premium Shoppers,21,"Instagram, Email, YouTube",99150,11054,3391,1168,485888,247.8,0.68,Hindi,15.75,Premium Shoppers,30-07-2024
PU-CMP-1143,Email,Tier 2 City Customers,13,"YouTube, Email, WhatsApp",74184,3640,1557,1058,438012,226.22,0.83,Bengali,8.43,Tier 2 City Customers,19-09-2024
PU-CMP-1144,Influencer,Youth,9,Facebook,27242,1467,841,646,420546,427.87,0.52,Tamil,10.84,Premium Shoppers,26-02-2025
PU-CMP-1145,Paid Ads,Working Women,25,"WhatsApp, Google",61577,2936,1528,847,662354,231.01,2.39,Bengali,8.62,College Students,17-11-2024
PU-CMP-1146,Paid Ads,College Students,22,"Facebook, YouTube, Instagram",27295,3237,754,601,186310,375.28,-0.17,English,16.82,Youth,19-12-2024
PU-CMP-1147,Paid Ads,Tier 2 City Customers,21,WhatsApp,75623,7076,1627,889,575183,192.36,2.36,Hindi,12.68,Tier 2 City Customers,09-05-2025
PU-CMP-1148,Social Media,College Students,22,"YouTube, Instagram",98392,2027,1215,712,196512,156.46,0.76,Hindi,4.02,Working Women,07-01-2025
PU-CMP-1149,Social Media,Youth,12,"WhatsApp, Instagram, Google",24640,3512,1607,1132,766364,96.36,6.03,Bengali,25.37,Youth,27-08-2024
PU-CMP-1150,Social Media,College Students,25,"WhatsApp, Google",87701,5631,2573,2053,1439153,92.31,6.59,Tamil,11.7,Youth,27-04-2025
PU-CMP-1151,Influencer,Youth,5,Email,87388,8952,5274,1618,579244,173.92,1.06,English,18.13,Working Women,03-10-2024
PU-CMP-1152,Email,Tier 2 City Customers,5,"Google, WhatsApp, Facebook",22187,2958,934,489,351102,603.32,0.19,English,19.75,Working Women,19-08-2024
PU-CMP-1153,Social Media,Premium Shoppers,18,"Email, Google, YouTube",96520,10699,5845,3982,2265758,19.4,28.33,Tamil,21.27,Tier 2 City Customers,26-05-2025
PU-CMP-1154,Influencer,Tier 2 City Customers,27,Instagram,82195,7231,2172,739,247565,291.74,0.15,Bengali,12.34,Premium Shoppers,06-03-2025
PU-CMP-1155,Influencer,Premium Shoppers,17,"YouTube, Email, WhatsApp",16850,2026,713,445,96565,237.13,-0.08,Tamil,18.9,Working Women,04-05-2025
PU-CMP-1156,Paid Ads,Tier 2 City Customers,7,"Google, Instagram",19349,2468,789,301,149597,945.5,-0.47,Hindi,18.39,Tier 2 City Customers,10-09-2024
PU-CMP-1157,Social Media,College Students,16,Instagram,34519,4705,1254,705,222075,352.84,-0.11,Tamil,19.31,Premium Shoppers,30-01-2025
PU-CMP-1158,Paid Ads,College Students,13,Email,92771,13361,2845,1416,335592,181.96,0.3,Tamil,19,Tier 2 City Customers,03-08-2024
PU-CMP-1159,Influencer,Premium Shoppers,12,"Facebook, WhatsApp, Email",58782,7995,3235,2147,1440637,41.96,14.99,Hindi,22.76,Premium Shoppers,16-02-2025
PU-CMP-1160,Influencer,Tier 2 City Customers,9,"Google, WhatsApp",24796,3101,1841,579,160962,398.7,-0.3,Bengali,22.27,Premium Shoppers,26-08-2024
PU-CMP-1161,SEO,Premium Shoppers,6,"Email, Instagram",37763,2006,1135,692,399284,430.78,0.34,Tamil,10.15,Tier 2 City Customers,11-10-2024
PU-CMP-1162,Social Media,Youth,19,"Instagram, Facebook",74494,10362,5842,3944,1652536,65.49,5.4,Hindi,27.05,College Students,26-07-2024
PU-CMP-1163,Paid Ads,Working Women,14,"YouTube, Email, WhatsApp",35912,1709,990,588,459228,173.22,3.51,Bengali,9.15,Working Women,06-02-2025
PU-CMP-1164,Email,Premium Shoppers,20,"Google, Email, WhatsApp",77008,2892,1440,1077,544962,194.81,1.6,Bengali,7.02,Premium Shoppers,29-12-2024
PU-CMP-1165,Paid Ads,Tier 2 City Customers,6,"YouTube, Facebook",62812,1377,461,188,52828,946.52,-0.7,Tamil,3.23,Youth,26-07-2024
PU-CMP-1166,SEO,Working Women,29,Instagram,50183,4839,2481,1519,370636,163.62,0.49,Bengali,17.61,College Students,05-01-2025
PU-CMP-1167,Social Media,Premium Shoppers,5,"Instagram, Email",67085,3857,1250,540,201960,357.68,0.05,Tamil,8.42,Premium Shoppers,30-05-2025
PU-CMP-1168,Influencer,College Students,11,"Instagram, Email",28612,2239,708,501,329658,365.92,0.8,Bengali,12.05,Premium Shoppers,06-04-2025
PU-CMP-1169,Influencer,College Students,26,"YouTube, Facebook, Email",83085,4661,1632,772,523416,89.75,6.55,Hindi,8.5,Premium Shoppers,02-07-2024
PU-CMP-1170,Social Media,Premium Shoppers,26,"Instagram, Facebook, Google",69748,3805,1268,971,487442,230.77,1.18,English,8.67,Premium Shoppers,03-05-2025
PU-CMP-1171,SEO,College Students,5,"YouTube, Email, Google",36091,1273,397,285,194370,656.55,0.04,Bengali,5.42,Youth,24-08-2024
PU-CMP-1172,Paid Ads,College Students,17,"Facebook, WhatsApp, YouTube",60961,8879,4650,3395,1086400,28.95,10.06,Hindi,27.76,Premium Shoppers,01-05-2025
PU-CMP-1173,SEO,Tier 2 City Customers,13,Google,30551,2429,928,494,333450,106.18,5.36,Hindi,12.61,Premium Shoppers,16-02-2025
PU-CMP-1174,SEO,Working Women,5,Email,55797,7600,1739,534,394626,155.93,3.74,Hindi,17.69,Premium Shoppers,27-05-2025
PU-CMP-1175,Email,Youth,15,"YouTube, Google, WhatsApp",72659,7833,1636,732,294996,286.24,0.41,English,14.04,Premium Shoppers,22-01-2025
PU-CMP-1176,SEO,Youth,14,"Facebook, Instagram, Google",44785,2914,597,420,250320,710.95,-0.16,English,8.78,Youth,06-06-2025
